country,fb_users
United States,166029240
India,62713680
Brazil,58565700
Indonesia,51096860
Mexico,38463860
United Kingdom,32950400
Turkey,32131260
Philippines,29890900
France,25624760
Germany,25332440
Italy,23202640
Argentina,20048100
Canada,18090640
Thailand,17721480
Spain,17590500
Colombia,17322000
Japan,17196080
Bangladesh,14352680
Malaysia,13589520
Taiwan,13240660
Egypt,12173540
Australia,11680640
Vietnam,10669880
South Korea,10012400
Poland,9863380
Venezuela,9766540
Chile,9687720
Peru,9351460
Pakistan,7984880
Russia,7963400
Netherlands,7554940
Nigeria,6630200
South Africa,6269600
Saudi Arabia,5852520
Romania,5374980
Morocco,5091760
Ecuador,4970680
Sweden,4950160
Belgium,4922260
Portugal,4663060
Hungary,4265960
Algeria,4111320
Hong Kong,4034560
Greece,3845820
Czech Republic,3834620
Israel,3792820
United Arab Emirates,3442940
Serbia,3377340
Tunisia,3328300
Switzerland,3055800
Denmark,3037700
Singapore,2915640
Austria,2915240
Dominican Republic,2793220
Norway,2771480
Jordan,2558140
Iraq,2555140
Bulgaria,2522120
Ukraine,2312920
Finland,2287960
New Zealand,2256040
Ireland,2183760
Guatemala,2104160
Kenya,2045900
Slovakia,2032200
Nepal,1940820
Costa Rica,1889620
Bolivia,1753060
Uruguay,1646740
Ghana,1630420
Croatia,1595760
Lebanon,1587060
Sri Lanka,1515720
El Salvador,1491480
Bosnia and Herzegovina,1345020
Puerto Rico,1291160
Paraguay,1214080
Honduras,1213800
Lithuania,1118500
Albania,1097800
Panama,1014160
Palestine,966960
Azerbaijan,963100
Macedonia,962780
Georgia,911900
Democratic Republic of the Congo,903020
Ethiopia,902440
Kuwait,890780
Nicaragua,783800
Libya,781700
Cambodia,742220
Slovenia,730160
Tanzania,705460
Kazakhstan,700020
Senegal,675820
Jamaica,673860
Qatar,671720
Angola,645460
China,633300
Oman,584900
Cyprus,582600
Cameroon,562480
Uganda,562240
Belarus,533360
Mongolia,515080
Estonia,501680
Yemen,495440
Trinidad and Tobago,490100
Latvia,414520
Bahrain,413200
Haiti,411160
Afghanistan,384220
Mauritius,367900
Mozambique,362560
Armenia,362000
Zambia,327600
Montenegro,306260
Botswana,294000
Moldova,285640
Madagascar,282880
Laos,255880
Brunei,254760
Réunion,240040
Namibia,231340
Luxembourg,227520
Iceland,227000
Malta,217040
Mali,212020
Macau,210040
Malawi,203840
Rwanda,188800
Fiji,181880
Benin,171780
Guadeloupe,169920
Bahamas,165820
Central African Republic,163780
Uzbekistan,152900
Burkina Faso,141740
Maldives,136760
Guyana,134800
Martinique,132380
Gabon,132000
Papua New Guinea,126660
Somalia,123480
Barbados,121620
Togo,117420
Kyrgyzstan,109060
Republic of the Congo,107640
Cape Verde,107340
Mauritania,106200
New Caledonia,101680
Suriname,99820
Gambia,97280
French Polynesia,94100
Swaziland,89500
Curaçao,85920
Bhutan,82040
Sierra Leone,76880
Belize,74700
Guam,70400
Guinea,68780
French Guiana,67220
Niger,63500
Saint Lucia,57640
Aruba,52520
Lesotho,51440
Djibouti,50140
Chad,43120
Burundi,41900
Saint Vincent and the Grenadines,40120
Isle of Man,39380
Grenada,37860
Tajikistan,37360
Monaco,36220
Andorra,34540
Antigua and Barbuda,34520
Equatorial Guinea,32980
Jersey,32760
Faroe Islands,31820
Bermuda,30500
Cayman Islands,30160
Seychelles,27600
Greenland,26840
Dominica,22660
Saint Kitts and Nevis,22480
Gibraltar,21700
Eritrea,20940
Comoros,19940
Mayotte,19500
Samoa,17940
Solomon Islands,17360
Tonga,15020
Turks and Caicos Islands,14620
Federated States of Micronesia,14280
Liechtenstein,12780
Turkmenistan,10120
British Virgin Islands,9580
San Marino,9420
Northern Mariana Islands,9340
Vanuatu,9080
United States Virgin Islands,8940
Marshall Islands,7260
São Tomé and Príncipe,6940
Palau,6360
Anguilla,6300
Kiribati,3880
Guernsey,2620
Falkland Islands,2020
Tuvalu,1960
Saint Barthélemy,1540
Nauru,480
American Samoa,420
Vatican City,20
