person__lastname,person__firstname,person__nickname,state,party,person__gender,person__birthday,role_type,senator_rank
Blunt,Roy,,MO,Republican,male,1950-01-10,senator,junior
Boozman,John,,AR,Republican,male,1950-12-10,senator,junior
Burr,Richard,,NC,Republican,male,1955-11-30,senator,senior
Isakson,John,Johnny,GA,Republican,male,1944-12-28,senator,junior
Kirk,Mark,,IL,Republican,male,1959-09-15,senator,junior
Moran,Jerry,,KS,Republican,male,1954-05-29,senator,junior
Portman,Robert,Rob,OH,Republican,male,1955-12-19,senator,junior
Toomey,Patrick,Pat,PA,Republican,male,1961-11-17,senator,junior
Udall,Mark,,CO,Democrat,male,1950-07-18,senator,senior
Udall,Tom,,NM,Democrat,male,1948-05-18,senator,senior
Vitter,David,,LA,Republican,male,1961-05-03,senator,junior
Alexander,Lamar,,TN,Republican,male,1940-07-03,senator,senior
Baucus,Max,,MT,Democrat,male,1941-12-11,senator,senior
Boxer,Barbara,,CA,Democrat,female,1940-11-11,senator,junior
Chambliss,Saxby,,GA,Republican,male,1943-11-10,senator,senior
Cochran,Thad,,MS,Republican,male,1937-12-07,senator,senior
Collins,Susan,,ME,Republican,female,1952-12-07,senator,senior
Cornyn,John,,TX,Republican,male,1952-02-02,senator,senior
Crapo,Michael,,ID,Republican,male,1951-05-20,senator,senior
Durbin,Richard,,IL,Democrat,male,1944-11-21,senator,senior
Enzi,Michael,,WY,Republican,male,1944-02-01,senator,senior
Graham,Lindsey,,SC,Republican,male,1955-07-09,senator,senior
Grassley,Charles,Chuck,IA,Republican,male,1933-09-17,senator,senior
Harkin,Thomas,Tom,IA,Democrat,male,1939-11-19,senator,junior
Inhofe,James,Jim,OK,Republican,male,1934-11-17,senator,senior
Schatz,Brian,,HI,Democrat,male,1972-10-20,senator,senior
Johnson,Tim,,SD,Democrat,male,1946-12-28,senator,senior
Landrieu,Mary,,LA,Democrat,female,1955-11-23,senator,senior
Leahy,Patrick,,VT,Democrat,male,1940-03-31,senator,senior
Levin,Carl,,MI,Democrat,male,1934-06-28,senator,senior
McCain,John,,AZ,Republican,male,1936-08-29,senator,senior
McConnell,Mitch,,KY,Republican,male,1942-02-20,senator,senior
Mikulski,Barbara,,MD,Democrat,female,1936-07-20,senator,senior
